EDITORA,PROGRAMA,NÚMERO PROGRAMA,EXIBIÇÃO (GRAVADO OU REPRISE),"CATEGORIA DO PROGRAMA (PROGRAMA, NOVELA)",DATA DE EXIBIÇÃO,NOME DA MÚSICA,AUTOR,INTERPRETE,TIPO DE SINCRONIZAÇÃO,PERCENTUAL A PAGAR - EDITORA,VALOR A PAGAR - EDITORA,__title_norm,__author_norm,__is_match,__sheet
UNIVERSAL MUSIC PUBLISHING MGB BRASIL LTDA,PROGRAMA SILVIO SANTOS,810,GRAVADO,PROGRAMA,10/12/2023,CORAÇÃO,DORGIVAL DANTAS,LUZ/GIL FERRAZ/NATASCHA PIVA,PERFORMANCE,100.00%,"799,71",coracao,luz/gil ferraz/natascha piva,True,Relatório Solicitação
DUBAS MÚSICA LTDA,PROGRAMA SILVIO SANTOS,810,GRAVADO,PROGRAMA,10/12/2023,DO LADO DE CÁ,FABRICIO DE GAMBOGI / GISELE DE SANTI,LEANDRO LOURENÇO SALERNO,FUNDO MUSICAL,50.00%,"799,72",do lado de ca,leandro lourenco salerno,True,Relatório Solicitação
WARNER CHAPPELL EDIÇÕES MUSICAIS LTDA,PROGRAMA SILVIO SANTOS,810,GRAVADO,PROGRAMA,10/12/2023,DO LADO DE CÁ,FABRICIO DE GAMBOGI / GISELE DE SANTI,LEANDRO LOURENÇO SALERNO,FUNDO MUSICAL,50.00%,"799,72",do lado de ca,leandro lourenco salerno,True,Relatório Solicitação
UNIVERSAL MUSIC PUBLISHING MGB BRASIL LTDA,PROGRAMA SILVIO SANTOS,810,GRAVADO,PROGRAMA,10/12/2023,FELICIDADE,GABRIEL DE MOURA PASSOS / ANGELO VITOR SIMPLICIO DA SILVA / JORGE MARIO DA SILVA / JORGE LEANDRO PEREIRA DA SILVA,SEU JORGE,FUNDO MUSICAL,50.00%,"799,72",felicidade,seu jorge,True,Relatório Solicitação
SONY MUSIC PUBLISHING (BRASIL) EDIÇÕES MUSICAIS LTDA,PROGRAMA SILVIO SANTOS,810,GRAVADO,PROGRAMA,10/12/2023,FELICIDADE,GABRIEL DE MOURA PASSOS / ANGELO VITOR SIMPLICIO DA SILVA / JORGE MARIO DA SILVA / JORGE LEANDRO PEREIRA DA SILVA,SEU JORGE,FUNDO MUSICAL,50.00%,"799,72",felicidade,seu jorge,True,Relatório Solicitação
WARNER CHAPPELL EDIÇÕES MUSICAIS LTDA,PROGRAMA DO RATINHO,3454,GRAVADO,PROGRAMA,13/12/2023,CINDERELA,ADELINO MOREIRA,ANGELA MARIA,FUNDO MUSICAL,100.00%,"1599,43",cinderela,angela maria,True,Relatório Solicitação
THIAGO ABDULAHAD NUNES RIOS ME,PROGRAMA DO RATINHO,3454,GRAVADO,PROGRAMA,13/12/2023,MALVADA,RIVALDO SOARES / SHYLTON FERNANDES / BRENO LIMA,NOVA BANDA DO RATINHO,PERFORMANCE,66.66%,"533,09",malvada,nova banda do ratinho,True,Relatório Solicitação
WARNER CHAPPELL EDIÇÕES MUSICAIS LTDA,PROGRAMA DO RATINHO,3454,GRAVADO,PROGRAMA,13/12/2023,MALVADA,RIVALDO SOARES / SHYLTON FERNANDES / BRENO LIMA,NOVA BANDA DO RATINHO,PERFORMANCE,33.34%,"266,62",malvada,nova banda do ratinho,True,Relatório Solicitação
ADDAF - ASS. DEF. DIREITOS AUTORAIS FONOMECÂNICOS,PROGRAMA DO RATINHO,3454,GRAVADO,PROGRAMA,13/12/2023,BEIJINHO NO OMBRO,WALLACE VIANA / ANDRE VIEIRA / LEANDRO PARDAL,NOVA BANDA DO RATINHO,PERFORMANCE,37.50%,"299,89",beijinho no ombro,nova banda do ratinho,True,Relatório Solicitação
WARNER CHAPPELL EDIÇÕES MUSICAIS LTDA,PROGRAMA DO RATINHO,3454,GRAVADO,PROGRAMA,13/12/2023,BEIJINHO NO OMBRO,WALLACE VIANA / ANDRE VIEIRA / LEANDRO PARDAL,NOVA BANDA DO RATINHO,PERFORMANCE,50.00%,"399,86",beijinho no ombro,nova banda do ratinho,True,Relatório Solicitação
SONY MUSIC PUBLISHING (BRASIL) EDIÇÕES MUSICAIS LTDA,PROGRAMA DO RATINHO,3454,GRAVADO,PROGRAMA,13/12/2023,BEIJINHO NO OMBRO,WALLACE VIANA / ANDRE VIEIRA / LEANDRO PARDAL,NOVA BANDA DO RATINHO,PERFORMANCE,12.50%,"99,96",beijinho no ombro,nova banda do ratinho,True,Relatório Solicitação
WARNER CHAPPELL EDIÇÕES MUSICAIS LTDA,PROGRAMA DO RATINHO,3454,GRAVADO,PROGRAMA,13/12/2023,AQUELAS COISAS,DANIEL MENDES DE ARAUJO DANTAS DANIEL MENDES / WASHINGTON VIEIRA FRAGA JUNIOR,NOVA BANDA DO RATINHO,PERFORMANCE,100.00%,"799,71",aquelas coisas,nova banda do ratinho,True,Relatório Solicitação
COSA NOSTRA FONOGRÁFICA LTDA - ME,PROGRAMA DO RATINHO,3454,GRAVADO,PROGRAMA,13/12/2023,VIDA LOKA,PEDRO PAULO SOARES PEREIRA,MILENE,PERFORMANCE,50.00%,"399,86",vida loka,milene,True,Relatório Solicitação
ALTAFONTE BRASIL DIREITOS MUSICAIS LTDA,PROGRAMA DO RATINHO,3454,GRAVADO,PROGRAMA,13/12/2023,VIDA LOKA,PEDRO PAULO SOARES PEREIRA,MILENE,PERFORMANCE,50.00%,"399,86",vida loka,milene,True,Relatório Solicitação
SONY MUSIC PUBLISHING (BRASIL) EDIÇÕES MUSICAIS LTDA,PROGRAMA DO RATINHO,3459,GRAVADO,PROGRAMA,27/12/2023,DIANA,FRED JORGE / PAUL ANKA,NOVA BANDA DO RATINHO,PERFORMANCE,100.00%,"799,71",diana,nova banda do ratinho,True,Relatório Solicitação
SONY MUSIC PUBLISHING (BRASIL) EDIÇÕES MUSICAIS LTDA,PROGRAMA SILVIO SANTOS,808,GRAVADO,PROGRAMA,03/12/2023,OI,BRUNO CALIMAN,BANDA SILVIO SANTOS,PERFORMANCE,100.00%,"799,71",oi,banda silvio santos,True,Relatório Solicitação
UNIVERSAL MUSIC PUBLISHING MGB BRASIL LTDA,PROGRAMA SILVIO SANTOS,808,GRAVADO,PROGRAMA,03/12/2023,VERMELHO,GLORIA GROOVE / MC DALESTE / PABLO BISPO / RUXELL,NATASCHA PIVA/GIL FERRAZ/LUZ,PERFORMANCE,100.00%,"799,71",vermelho,natascha piva/gil ferraz/luz,True,Relatório Solicitação
UNIVERSAL MUSIC PUBLISHING MGB BRASIL LTDA,PROGRAMA SILVIO SANTOS,808,GRAVADO,PROGRAMA,03/12/2023,FICA,ANA CLARA CAETANO,LEANDRO LOURENÇO SALERNO,FUNDO MUSICAL,100.00%,"1599,43",fica,leandro lourenco salerno,True,Relatório Solicitação
UNIVERSAL MUSIC PUBLISHING MGB BRASIL LTDA,PROGRAMA SILVIO SANTOS,808,GRAVADO,PROGRAMA,03/12/2023,VERDADE,CARLINHOS SANTANA / NELSON RUFINO,LEANDRO LOURENÇO SALERNO,FUNDO MUSICAL,50.00%,"799,72",verdade,leandro lourenco salerno,True,Relatório Solicitação
SONY MUSIC PUBLISHING (BRASIL) EDIÇÕES MUSICAIS LTDA,PROGRAMA SILVIO SANTOS,808,GRAVADO,PROGRAMA,03/12/2023,VERDADE,CARLINHOS SANTANA / NELSON RUFINO,LEANDRO LOURENÇO SALERNO,FUNDO MUSICAL,50.00%,"799,72",verdade,leandro lourenco salerno,True,Relatório Solicitação
BMG RIGHTS MANAGEMENT BRASIL LTDA,PROGRAMA SILVIO SANTOS,808,GRAVADO,PROGRAMA,03/12/2023,VAGALUMES,LUIZ TOMIM / IVO MOZART / ADRIEL MENEZES / LEONARDO HENRIQUE VEREDA CUNHA,LEANDRO LOURENÇO SALERNO,FUNDO MUSICAL,33.67%,"538,53",vagalumes,leandro lourenco salerno,True,Relatório Solicitação
DIVERSAS,PROGRAMA SILVIO SANTOS,808,GRAVADO,PROGRAMA,03/12/2023,VAGALUMES,LUIZ TOMIM / IVO MOZART / ADRIEL MENEZES / LEONARDO HENRIQUE VEREDA CUNHA,LEANDRO LOURENÇO SALERNO,FUNDO MUSICAL,50.00%,"799,72",vagalumes,leandro lourenco salerno,True,Relatório Solicitação
WARNER CHAPPELL EDIÇÕES MUSICAIS LTDA,PROGRAMA SILVIO SANTOS,808,GRAVADO,PROGRAMA,03/12/2023,VAGALUMES,LUIZ TOMIM / IVO MOZART / ADRIEL MENEZES / LEONARDO HENRIQUE VEREDA CUNHA,LEANDRO LOURENÇO SALERNO,FUNDO MUSICAL,16.33%,"261,19",vagalumes,leandro lourenco salerno,True,Relatório Solicitação
WARNER CHAPPELL EDIÇÕES MUSICAIS LTDA,PROGRAMA SILVIO SANTOS,808,GRAVADO,PROGRAMA,03/12/2023,MORENA,BRENO CESAR LOLLI / DIEGO ITALLO RODRIGUES DE SOUZA / LUAN RAFAEL DOMINGOS SANTANA / LUCAS GONCALVES / SHYLTON FERNANDES SOUSA AQUINO,LUAN SANTANA,FUNDO MUSICAL,5.00%,"79,97",morena,luan santana,True,Relatório Solicitação
DIVERSAS,PROGRAMA SILVIO SANTOS,808,GRAVADO,PROGRAMA,03/12/2023,MORENA,BRENO CESAR LOLLI / DIEGO ITALLO RODRIGUES DE SOUZA / LUAN RAFAEL DOMINGOS SANTANA / LUCAS GONCALVES / SHYLTON FERNANDES SOUSA AQUINO,LUAN SANTANA,FUNDO MUSICAL,95.00%,"1519,46",morena,luan santana,True,Relatório Solicitação
WARNER CHAPPELL EDIÇÕES MUSICAIS LTDA,PROGRAMA SILVIO SANTOS,808,GRAVADO,PROGRAMA,03/12/2023,TETO DE VIDRO,PITTY,BANDA SILVIO SANTOS,PERFORMANCE,100.00%,"799,71",teto de vidro,banda silvio santos,True,Relatório Solicitação
GEGE EDIÇÕES MUSICAIS LTDA,PROGRAMA SILVIO SANTOS,808,GRAVADO,PROGRAMA,03/12/2023,VAMOS FUGIR,LIMINHA / GILBERTO GIL,BANDA SILVIO SANTOS,PERFORMANCE,50.00%,"399,86",vamos fugir,banda silvio santos,True,Relatório Solicitação
SONY MUSIC PUBLISHING (BRASIL) EDIÇÕES MUSICAIS LTDA,PROGRAMA SILVIO SANTOS,808,GRAVADO,PROGRAMA,03/12/2023,VAMOS FUGIR,LIMINHA / GILBERTO GIL,BANDA SILVIO SANTOS,PERFORMANCE,50.00%,"399,86",vamos fugir,banda silvio santos,True,Relatório Solicitação
UNIVERSAL MUSIC PUBLISHING MGB BRASIL LTDA,PROGRAMA SILVIO SANTOS,808,GRAVADO,PROGRAMA,03/12/2023,ERA UMA VEZ,KELL SMITH,KELL SMITH,PERFORMANCE,100.00%,"799,71",era uma vez,kell smith,True,Relatório Solicitação
WARNER CHAPPELL EDIÇÕES MUSICAIS LTDA,PROGRAMA SILVIO SANTOS,808,GRAVADO,PROGRAMA,03/12/2023,BRISA,IZA / PABLO LUIZ BISPO / RUXELL / SERGIO SANTOS,IZA,FUNDO MUSICAL,75.00%,"1199,57",brisa,iza,True,Relatório Solicitação
SONY MUSIC PUBLISHING (BRASIL) EDIÇÕES MUSICAIS LTDA,PROGRAMA SILVIO SANTOS,808,GRAVADO,PROGRAMA,03/12/2023,BRISA,IZA / PABLO LUIZ BISPO / RUXELL / SERGIO SANTOS,IZA,FUNDO MUSICAL,25.00%,"399,86",brisa,iza,True,Relatório Solicitação
UNIVERSAL MUSIC PUBLISHING MGB BRASIL LTDA,PROGRAMA SILVIO SANTOS,809,GRAVADO,PROGRAMA,17/12/2023,VERDADE,CARLINHOS SANTANA / NELSON RUFINO,NATASCHA PIVA,PERFORMANCE,50.00%,"399,86",verdade,natascha piva,True,Relatório Solicitação
SONY MUSIC PUBLISHING (BRASIL) EDIÇÕES MUSICAIS LTDA,PROGRAMA SILVIO SANTOS,809,GRAVADO,PROGRAMA,17/12/2023,VERDADE,CARLINHOS SANTANA / NELSON RUFINO,NATASCHA PIVA,PERFORMANCE,50.00%,"399,86",verdade,natascha piva,True,Relatório Solicitação
DIVERSAS,PROGRAMA RAUL GIL (REPRISE),687,REPRISE,PROGRAMA,30/12/2023,SENTADAO,ARTHUR RAMOS / EDU NOBRE / TIE CASTRO,PSIRICO,PERFORMANCE,100.00%,"373,70",sentadao,psirico,True,Relatório Solicitação
BMG RIGHTS MANAGEMENT BRASIL LTDA,PROGRAMA RAUL GIL (REPRISE),687,REPRISE,PROGRAMA,30/12/2023,GIRASSOL,PRISCILLA ALCANTARA / WHINDERSSON NUNES,IZA VICTÓRIA,PERFORMANCE,100.00%,"373,70",girassol,iza victoria,True,Relatório Solicitação
PEERMUSIC DO BRASIL EDIÇÕES MUSICAIS LTDA,PROGRAMA SILVIO SANTOS,811,GRAVADO,PROGRAMA,24/12/2023,BALMAIN,MC DANIEL / VINICIUS DOS SANTOS LESSA,MC DANIEL,FUNDO MUSICAL,100.00%,"1599,43",balmain,mc daniel,True,Relatório Solicitação
UNIVERSAL MUSIC PUBLISHING MGB BRASIL LTDA,PROGRAMA SILVIO SANTOS,811,GRAVADO,PROGRAMA,24/12/2023,PRIMAVERA,CASSIANO / SILVIO ROCHAEL,LEANDRO LOURENÇO SALERNO,FUNDO MUSICAL,100.00%,"1599,43",primavera,leandro lourenco salerno,True,Relatório Solicitação
IRMÃOS VITALE EDITORES LTDA,PROGRAMA SILVIO SANTOS,811,GRAVADO,PROGRAMA,24/12/2023,ANOITECEU,ASSIS VALENTE,JEITO MOLEQUE/LUCAS MORATO/MR. DAN/PÉRICLES/SAMBÔ/THIAGUINHO,FUNDO MUSICAL,100.00%,"1599,43",anoiteceu,jeito moleque/lucas morato/mr. dan/pericles/sambo/thiaguinho,True,Relatório Solicitação
IRMÃOS VITALE EDITORES LTDA,PROGRAMA SILVIO SANTOS,811,GRAVADO,PROGRAMA,24/12/2023,ANOITECEU,ASSIS VALENTE,CIRCO DO TIRULIPA,PERFORMANCE,100.00%,"799,71",anoiteceu,circo do tirulipa,True,Relatório Solicitação
BMG RIGHTS MANAGEMENT BRASIL LTDA,ELIANA,741,GRAVADO,PROGRAMA,03/12/2023,GIRASSOL,WHINDERSSON NUNES,PRISCILLA,PERFORMANCE,100.00%,"799,71",girassol,priscilla,True,Relatório Solicitação
WARNER CHAPPELL EDIÇÕES MUSICAIS LTDA,ELIANA,741,GRAVADO,PROGRAMA,03/12/2023,GIRASSOL,ANDRE FARIAS / ANTONIO FILHO / MARCOS CRUZ / PAULO GAMA / PEDRO LUIS TEIXEIRA DE OLIVEIRA,TIAGO BARNABÉ,PERFORMANCE,20.00%,"159,94",girassol,tiago barnabe,True,Relatório Solicitação
SONY MUSIC PUBLISHING (BRASIL) EDIÇÕES MUSICAIS LTDA,ELIANA,741,GRAVADO,PROGRAMA,03/12/2023,GIRASSOL,ANDRE FARIAS / ANTONIO FILHO / MARCOS CRUZ / PAULO GAMA / PEDRO LUIS TEIXEIRA DE OLIVEIRA,TIAGO BARNABÉ,PERFORMANCE,80.00%,"639,77",girassol,tiago barnabe,True,Relatório Solicitação
DIVERSAS,DOMINGO LEGAL,1557,GRAVADO,PROGRAMA,12/11/2023,PAPI,Hajji Bilal / Jannusi Achraf / Jannusi Novel Naoufal / Khayat Nadir / Sandell Geraldo Jacop / Thornfeldt Jimmy Paul,JENNIFER LOPEZ,FUNDO MUSICAL,100.00%,"1599,43",papi,jennifer lopez,True,Relatório Solicitação
DIVERSAS,PROGRAMA DO RATINHO,3436,GRAVADO,PROGRAMA,17/11/2023,SOU EU,CARLOS PEDRO / ED WILSON,TRAIA VÉIA,PERFORMANCE,25.00%,"199,93",sou eu,traia veia,True,Relatório Solicitação
UNIVERSAL MUSIC PUBLISHING MGB BRASIL LTDA,PROGRAMA DO RATINHO,3436,GRAVADO,PROGRAMA,17/11/2023,SOU EU,CARLOS PEDRO / ED WILSON,TRAIA VÉIA,PERFORMANCE,25.00%,"199,93",sou eu,traia veia,True,Relatório Solicitação
PEERMUSIC DO BRASIL EDIÇÕES MUSICAIS LTDA,PROGRAMA DO RATINHO,3436,GRAVADO,PROGRAMA,17/11/2023,SOU EU,CARLOS PEDRO / ED WILSON,TRAIA VÉIA,PERFORMANCE,50.00%,"399,86",sou eu,traia veia,True,Relatório Solicitação
DIVERSAS,PROGRAMA DO RATINHO,3436,GRAVADO,PROGRAMA,17/11/2023,SE FOI,BRUNO DE OLIVEIRA CORREA,BRUNINHO SCANDALLI,PERFORMANCE,100.00%,"799,71",se foi,bruninho scandalli,True,Relatório Solicitação
DIVERSAS,ELIANA,740,GRAVADO,PROGRAMA,26/11/2023,MEIA NOITE,VALTER DANADAO / ZE MALHADA,RAFAEL/CIDA,PERFORMANCE,100.00%,"799,71",meia noite,rafael/cida,True,Relatório Solicitação
IRMÃOS VITALE EDITORES LTDA,PROGRAMA DO RATINHO,3426,GRAVADO,PROGRAMA,02/11/2023,SEBASTIANA,ROSIL CAVALCANTI,NOVA BANDA DO RATINHO,PERFORMANCE,100.00%,"799,71",sebastiana,nova banda do ratinho,True,Relatório Solicitação
ROCKING GORILLA MUSIC LTDA,THE NOITE,2446,GRAVADO,PROGRAMA,08/11/2023,ISRAEL,JOHN ALEXANDER MCGEOCH / PETER EDWARD CLARKE / STEVEN JOHN BAILEY / SUSAN JANET BALLION,ULTRAJE A RIGOR,PERFORMANCE,50.00%,"399,86",israel,ultraje a rigor,True,Relatório Solicitação
DIVERSAS,THE NOITE,2446,GRAVADO,PROGRAMA,08/11/2023,ISRAEL,JOHN ALEXANDER MCGEOCH / PETER EDWARD CLARKE / STEVEN JOHN BAILEY / SUSAN JANET BALLION,ULTRAJE A RIGOR,PERFORMANCE,50.00%,"399,86",israel,ultraje a rigor,True,Relatório Solicitação
WARNER CHAPPELL EDIÇÕES MUSICAIS LTDA,PROGRAMA SILVIO SANTOS,807,GRAVADO,PROGRAMA,26/11/2023,BRISA,IZA / PABLO LUIZ BISPO / RUXELL / SERGIO SANTOS,LUZ/ NATASCHA PIVA/ GIL FERRAZ,PERFORMANCE,75.00%,"599,78",brisa,luz/ natascha piva/ gil ferraz,True,Relatório Solicitação
SONY MUSIC PUBLISHING (BRASIL) EDIÇÕES MUSICAIS LTDA,PROGRAMA SILVIO SANTOS,807,GRAVADO,PROGRAMA,26/11/2023,BRISA,IZA / PABLO LUIZ BISPO / RUXELL / SERGIO SANTOS,LUZ/ NATASCHA PIVA/ GIL FERRAZ,PERFORMANCE,25.00%,"199,93",brisa,luz/ natascha piva/ gil ferraz,True,Relatório Solicitação
WARNER CHAPPELL EDIÇÕES MUSICAIS LTDA,PROGRAMA SILVIO SANTOS,807,GRAVADO,PROGRAMA,26/11/2023,IDENTIDADE,JORGE ARAGAO DA CRUZ,LEANDRO LOURENÇO SALERNO,FUNDO MUSICAL,100.00%,"1599,43",identidade,leandro lourenco salerno,True,Relatório Solicitação
UNIVERSAL MUSIC PUBLISHING MGB BRASIL LTDA,PROGRAMA SILVIO SANTOS,807,GRAVADO,PROGRAMA,26/11/2023,OUTDOOR,JORGE CARDOSO / BETO CORREA,BANDA SILVIO SANTOS,PERFORMANCE,50.00%,"399,86",outdoor,banda silvio santos,True,Relatório Solicitação
SONY MUSIC PUBLISHING (BRASIL) EDIÇÕES MUSICAIS LTDA,PROGRAMA SILVIO SANTOS,807,GRAVADO,PROGRAMA,26/11/2023,OUTDOOR,JORGE CARDOSO / BETO CORREA,BANDA SILVIO SANTOS,PERFORMANCE,50.00%,"399,86",outdoor,banda silvio santos,True,Relatório Solicitação
IRMÃOS VITALE EDITORES LTDA,PROGRAMA SILVIO SANTOS,805,GRAVADO,PROGRAMA,12/11/2023,SAUDADE,CRYSTIAN RALF,LEANDRO LOURENÇO SALERNO,FUNDO MUSICAL,100.00%,"1599,43",saudade,leandro lourenco salerno,True,Relatório Solicitação
SONY MUSIC PUBLISHING (BRASIL) EDIÇÕES MUSICAIS LTDA,PROGRAMA SILVIO SANTOS,805,GRAVADO,PROGRAMA,12/11/2023,OI,BRUNO CALIMAN,LEANDRO LOURENÇO SALERNO,FUNDO MUSICAL,100.00%,"1599,43",oi,leandro lourenco salerno,True,Relatório Solicitação
WARNER CHAPPELL EDIÇÕES MUSICAIS LTDA,PROGRAMA SILVIO SANTOS,805,GRAVADO,PROGRAMA,12/11/2023,MAGICA,FELIPE ARNA FERREIRA / NORMANI COELHO PELEGRINI FILHO / ROBISON JOSE FARIA,GUGO E GUILHERME,FUNDO MUSICAL,33.33%,"533,09",magica,gugo e guilherme,True,Relatório Solicitação
DIVERSAS,PROGRAMA SILVIO SANTOS,805,GRAVADO,PROGRAMA,12/11/2023,MAGICA,FELIPE ARNA FERREIRA / NORMANI COELHO PELEGRINI FILHO / ROBISON JOSE FARIA,GUGO E GUILHERME,FUNDO MUSICAL,66.67%,"1066,34",magica,gugo e guilherme,True,Relatório Solicitação
ADDAF - ASS. DEF. DIREITOS AUTORAIS FONOMECÂNICOS,PROGRAMA SILVIO SANTOS,805,GRAVADO,PROGRAMA,12/11/2023,BEIJINHO NO OMBRO,WALLACE VIANA / ANDRE VIEIRA / LEANDRO PARDAL,RAFINHA/BALLET,PERFORMANCE,37.50%,"299,89",beijinho no ombro,rafinha/ballet,True,Relatório Solicitação
WARNER CHAPPELL EDIÇÕES MUSICAIS LTDA,PROGRAMA SILVIO SANTOS,805,GRAVADO,PROGRAMA,12/11/2023,BEIJINHO NO OMBRO,WALLACE VIANA / ANDRE VIEIRA / LEANDRO PARDAL,RAFINHA/BALLET,PERFORMANCE,50.00%,"399,86",beijinho no ombro,rafinha/ballet,True,Relatório Solicitação
SONY MUSIC PUBLISHING (BRASIL) EDIÇÕES MUSICAIS LTDA,PROGRAMA SILVIO SANTOS,805,GRAVADO,PROGRAMA,12/11/2023,BEIJINHO NO OMBRO,WALLACE VIANA / ANDRE VIEIRA / LEANDRO PARDAL,RAFINHA/BALLET,PERFORMANCE,12.50%,"99,96",beijinho no ombro,rafinha/ballet,True,Relatório Solicitação
WARNER CHAPPELL EDIÇÕES MUSICAIS LTDA,PROGRAMA SILVIO SANTOS,805,GRAVADO,PROGRAMA,12/11/2023,BRISA,IZA / PABLO LUIZ BISPO / RUXELL / SERGIO SANTOS,IZA,FUNDO MUSICAL,75.00%,"1199,57",brisa,iza,True,Relatório Solicitação
SONY MUSIC PUBLISHING (BRASIL) EDIÇÕES MUSICAIS LTDA,PROGRAMA SILVIO SANTOS,805,GRAVADO,PROGRAMA,12/11/2023,BRISA,IZA / PABLO LUIZ BISPO / RUXELL / SERGIO SANTOS,IZA,FUNDO MUSICAL,25.00%,"399,86",brisa,iza,True,Relatório Solicitação
DIVERSAS,THE NOITE,2452,GRAVADO,PROGRAMA,17/11/2023,PARA QUE TÁ FEIO,CAMILA MORAES / DOM VITTOR / PEDRO TICKS / VIANA / VPEREIRA,KAMISA10,PERFORMANCE,100.00%,"799,71",para que ta feio,kamisa10,True,Relatório Solicitação
UNIVERSAL MUSIC PUBLISHING MGB BRASIL LTDA,PROGRAMA SILVIO SANTOS,804,GRAVADO,PROGRAMA,05/11/2023,PRIMAVERA,CASSIANO / SILVIO ROCHAEL,TIM MAIA,FUNDO MUSICAL,100.00%,"1599,43",primavera,tim maia,True,Relatório Solicitação
UNIVERSAL MUSIC PUBLISHING MGB BRASIL LTDA,PROGRAMA SILVIO SANTOS,804,GRAVADO,PROGRAMA,05/11/2023,ALMA,ANTUNES FILHO / GOMES,ZELIA DUNCAN,FUNDO MUSICAL,50.00%,"799,72",alma,zelia duncan,True,Relatório Solicitação
WARNER CHAPPELL EDIÇÕES MUSICAIS LTDA,PROGRAMA SILVIO SANTOS,804,GRAVADO,PROGRAMA,05/11/2023,ALMA,ANTUNES FILHO / GOMES,ZELIA DUNCAN,FUNDO MUSICAL,50.00%,"799,72",alma,zelia duncan,True,Relatório Solicitação
SONY MUSIC PUBLISHING (BRASIL) EDIÇÕES MUSICAIS LTDA,PROGRAMA DO RATINHO,3444,GRAVADO,PROGRAMA,29/11/2023,DIANA,FRED JORGE / PAUL ANKA,NOVA BANDA DO RATINHO,PERFORMANCE,100.00%,"799,71",diana,nova banda do ratinho,True,Relatório Solicitação
ADDAF - ASS. DEF. DIREITOS AUTORAIS FONOMECÂNICOS,PROGRAMA SILVIO SANTOS,806,GRAVADO,PROGRAMA,19/11/2023,BEIJINHO NO OMBRO,WALLACE VIANA / ANDRE VIEIRA / LEANDRO PARDAL,LUZ/NATASHA PIVA/GIL,PERFORMANCE,37.50%,"299,89",beijinho no ombro,luz/natasha piva/gil,True,Relatório Solicitação
WARNER CHAPPELL EDIÇÕES MUSICAIS LTDA,PROGRAMA SILVIO SANTOS,806,GRAVADO,PROGRAMA,19/11/2023,BEIJINHO NO OMBRO,WALLACE VIANA / ANDRE VIEIRA / LEANDRO PARDAL,LUZ/NATASHA PIVA/GIL,PERFORMANCE,50.00%,"399,86",beijinho no ombro,luz/natasha piva/gil,True,Relatório Solicitação
SONY MUSIC PUBLISHING (BRASIL) EDIÇÕES MUSICAIS LTDA,PROGRAMA SILVIO SANTOS,806,GRAVADO,PROGRAMA,19/11/2023,BEIJINHO NO OMBRO,WALLACE VIANA / ANDRE VIEIRA / LEANDRO PARDAL,LUZ/NATASHA PIVA/GIL,PERFORMANCE,12.50%,"99,96",beijinho no ombro,luz/natasha piva/gil,True,Relatório Solicitação
THIAGO ABDULAHAD NUNES RIOS ME,PROGRAMA SILVIO SANTOS,806,GRAVADO,PROGRAMA,19/11/2023,MALVADA,RIVALDO SOARES / SHYLTON FERNANDES / BRENO LIMA,LUCAS GUEDEZ,PERFORMANCE,66.66%,"533,09",malvada,lucas guedez,True,Relatório Solicitação
WARNER CHAPPELL EDIÇÕES MUSICAIS LTDA,PROGRAMA SILVIO SANTOS,806,GRAVADO,PROGRAMA,19/11/2023,MALVADA,RIVALDO SOARES / SHYLTON FERNANDES / BRENO LIMA,LUCAS GUEDEZ,PERFORMANCE,33.34%,"266,62",malvada,lucas guedez,True,Relatório Solicitação
UNIVERSAL MUSIC PUBLISHING MGB BRASIL LTDA,PROGRAMA SILVIO SANTOS,806,GRAVADO,PROGRAMA,19/11/2023,FELICIDADE,GABRIEL DE MOURA PASSOS / ANGELO VITOR SIMPLICIO DA SILVA / JORGE MARIO DA SILVA / JORGE LEANDRO PEREIRA DA SILVA,SEU JORGE,FUNDO MUSICAL,50.00%,"799,72",felicidade,seu jorge,True,Relatório Solicitação
WARNER CHAPPELL EDIÇÕES MUSICAIS LTDA,PROGRAMA SILVIO SANTOS,806,GRAVADO,PROGRAMA,19/11/2023,FELICIDADE,GABRIEL DE MOURA PASSOS / ANGELO VITOR SIMPLICIO DA SILVA / JORGE MARIO DA SILVA / JORGE LEANDRO PEREIRA DA SILVA,SEU JORGE,FUNDO MUSICAL,25.00%,"399,86",felicidade,seu jorge,True,Relatório Solicitação
SONY MUSIC PUBLISHING (BRASIL) EDIÇÕES MUSICAIS LTDA,PROGRAMA SILVIO SANTOS,806,GRAVADO,PROGRAMA,19/11/2023,FELICIDADE,GABRIEL DE MOURA PASSOS / ANGELO VITOR SIMPLICIO DA SILVA / JORGE MARIO DA SILVA / JORGE LEANDRO PEREIRA DA SILVA,SEU JORGE,FUNDO MUSICAL,25.00%,"399,86",felicidade,seu jorge,True,Relatório Solicitação
BMG RIGHTS MANAGEMENT BRASIL LTDA,THE NOITE (REPRISE),649,REPRISE,PROGRAMA,30/03/2024,HEY JOE,BILLY ROBERTS,JIMMI HENDRIX,PERFORMANCE,100.00%,390.96,hey joe,jimmi hendrix,True,Relatório Solicitação
DIVERSAS,CIRCO DO TIRU,2,GRAVADO,PROGRAMA,23/03/2024,GOLD,STEPHANIE KIARA,STEPHANIE KIARA,FUNDO MUSICAL,100.00%,1673.31,gold,stephanie kiara,True,Relatório Solicitação
