EDITORA,PROGRAMA,NÚMERO PROGRAMA,EXIBIÇÃO (GRAVADO OU REPRISE),"CATEGORIA DO PROGRAMA (PROGRAMA, NOVELA)",DATA DE EXIBIÇÃO,NOME DA MÚSICA,AUTOR,INTERPRETE,TIPO DE SINCRONIZAÇÃO,PERCENTUAL A PAGAR - EDITORA,VALOR A PAGAR - EDITORA,__title_norm,__author_norm,__is_match,__sheet
WARNER CHAPPELL EDIÇÕES MUSICAIS LTDA,PROGRAMA DO RATINHO,3493,GRAVADO,PROGRAMA,13/02/2024,FOGO,KARIN HILLS / PABLO BISPO / RUXELL / SERGIO SANTOS / DOUGLAS CAMPOS,KARIN HILS,PERFORMANCE,30.00%,"251,00",fogo,karin hils,True,Relatório Solicitação
DIVERSAS,PROGRAMA DO RATINHO,3493,GRAVADO,PROGRAMA,13/02/2024,FOGO,KARIN HILLS / PABLO BISPO / RUXELL / SERGIO SANTOS / DOUGLAS CAMPOS,KARI HILS,PERFORMANCE,70.00%,"585,66",fogo,kari hils,True,Relatório Solicitação
WARNER CHAPPELL EDIÇÕES MUSICAIS LTDA,PROGRAMA DO RATINHO,3493,GRAVADO,PROGRAMA,13/02/2024,FOGO,KARIN HILLS / PABLO BISPO / RUXELL / SERGIO SANTOS / DOUGLAS CAMPOS,KARI HILS,PERFORMANCE,30.00%,"251,00",fogo,kari hils,True,Relatório Solicitação
UNIVERSAL MUSIC PUBLISHING MGB BRASIL LTDA,PROGRAMA DO RATINHO,3494,GRAVADO,PROGRAMA,14/02/2024,DOMINGO,ALEXANDRE PIRES,NOVA BANDA DO RATINHO,PERFORMANCE,11.00%,"92,03",domingo,nova banda do ratinho,True,Relatório Solicitação
NOSSAMÚSICA PRODUÇÕES E EDIÇÕES MUSICAIS LTDA,PROGRAMA DO RATINHO,3494,GRAVADO,PROGRAMA,14/02/2024,DOMINGO,ALEXANDRE PIRES,NOVA BANDA DO RATINHO,PERFORMANCE,89.00%,"744,62",domingo,nova banda do ratinho,True,Relatório Solicitação
WARNER CHAPPELL EDIÇÕES MUSICAIS LTDA,PROGRAMA SILVIO SANTOS,817,GRAVADO,PROGRAMA,04/02/2024,PODEROSA,NELSON ALVES DAS NEVES FILHO,NATASCHA PIVA,PERFORMANCE,100.00%,"836,65",poderosa,natascha piva,True,Relatório Solicitação
UNIVERSAL MUSIC PUBLISHING MGB BRASIL LTDA,PROGRAMA SILVIO SANTOS,817,GRAVADO,PROGRAMA,04/02/2024,VERMELHO,GLORIA GROOVE / MC DALESTE / PABLO BISPO / RUXELL,GLORIA GROOVE,FUNDO MUSICAL,16.66%,"278,77",vermelho,gloria groove,True,Relatório Solicitação
WARNER CHAPPELL EDIÇÕES MUSICAIS LTDA,PROGRAMA SILVIO SANTOS,817,GRAVADO,PROGRAMA,04/02/2024,VERMELHO,GLORIA GROOVE / MC DALESTE / PABLO BISPO / RUXELL,GLORIA GROOVE,FUNDO MUSICAL,83.34%,"1394,54",vermelho,gloria groove,True,Relatório Solicitação
THIAGO ABDULAHAD NUNES RIOS ME,PROGRAMA SILVIO SANTOS (REPRISE),806,REPRISE,PROGRAMA,28/01/2024,MALVADA,RIVALDO SOARES / SHYLTON FERNANDES / BRENO LIMA,LUCAS GUEDEZ,PERFORMANCE,33.33%,130.31,malvada,lucas guedez,True,Relatório Solicitação
WARNER CHAPPELL EDIÇÕES MUSICAIS LTDA,PROGRAMA SILVIO SANTOS (REPRISE),806,REPRISE,PROGRAMA,28/01/2024,MALVADA,RIVALDO SOARES / SHYLTON FERNANDES / BRENO LIMA,LUCAS GUEDEZ,PERFORMANCE,66.67%,260.65,malvada,lucas guedez,True,Relatório Solicitação
