Programa,Exibição,Música,Autor,Intérprete,Editora,Tipo,TOTAL,Mídia,Canal,Gênero,Episódio Nr.,Acervo Sim ou Não,Data da 1ª Exibição (apenas para conferência),Exibição.1,uncertain_match,Matched Title,Matched Identifier/ISWC,Uncertain Match,Eligibility Basis,__source_sheet
Experimente,2025-03-12 00:00:00,Drama,"Felipe Neo,Rico Dalasam",Rico Dalasam,"Bmg Rights Management Brasil Ltda,Boa Musica Brasil Direitos Musicais Ltda",Performance,,,,,,,,,,DRAMA,T-932.546.398-7,True,artist_alias,Relatório UBEM - Canal Brasil
Experimente,2025-03-12 00:00:00,Drama,"Felipe Neo,Rico Dalasam",Rico Dalasam,"Bmg Rights Management Brasil Ltda,Boa Musica Brasil Direitos Musicais Ltda",Performance,,,,,,,,,,DRAMA,T-321.537.188-9,True,artist_alias,Relatório UBEM - Canal Brasil
Aquecimento Lollapalooza: Lollapalooza 2024 - Xamã,2025-03-13 00:00:00,Freestyle,Xamã,Xamã,Associacao Defensora De Direitos Autorais (Addaf),Performance,,,,,,,,,,FREESTYLE,T-321.150.611-1,True,artist_alias,Relatório UBEM - Canal Brasil
Palco Principal: Rock In Rio 2024 - Ivete Sangalo,2025-03-13 00:00:00,Macetando,"Ivete Sangalo,Luciano Chaves Dos Santos,Samir Pereira Trindade",Ivete Sangalo,"Onerpm Comercio E Servicos De Midia Digital Ltda,Warner Chappell Edicoes Musicais Ltda",Performance,,,,,,,,,,MACETANDO,T-318.000.000-0,True,artist_alias,Relatório UBEM - Canal Brasil
Aquecimento Lollapalooza: Lollapalooza 2024 - Xamã,2025-03-14 00:00:00,Freestyle,Xamã,Xamã,Associacao Defensora De Direitos Autorais (Addaf),Performance,,,,,,,,,,FREESTYLE,T-321.150.611-1,True,artist_alias,Relatório UBEM - Canal Brasil
Palco Principal: Rock In Rio 2024 - Ivete Sangalo,2025-03-14 00:00:00,Macetando,"Ivete Sangalo,Luciano Chaves Dos Santos,Samir Pereira Trindade",Ivete Sangalo,"Onerpm Comercio E Servicos De Midia Digital Ltda,Warner Chappell Edicoes Musicais Ltda",Performance,,,,,,,,,,MACETANDO,T-318.000.000-0,True,artist_alias,Relatório UBEM - Canal Brasil
Aquecimento Lollapalooza: Lollapalooza 2024 - Xamã,2025-03-15 00:00:00,Freestyle,Xamã,Xamã,Associacao Defensora De Direitos Autorais (Addaf),Performance,,,,,,,,,,FREESTYLE,T-321.150.611-1,True,artist_alias,Relatório UBEM - Canal Brasil
Experimente,2025-03-15 00:00:00,Drama,"Felipe Neo,Rico Dalasam",Rico Dalasam,"Bmg Rights Management Brasil Ltda,Boa Musica Brasil Direitos Musicais Ltda",Performance,,,,,,,,,,DRAMA,T-039.662.293-7,True,artist_alias,Relatório UBEM - Canal Brasil
Experimente,2025-03-15 00:00:00,Drama,"Felipe Neo,Rico Dalasam",Rico Dalasam,"Bmg Rights Management Brasil Ltda,Boa Musica Brasil Direitos Musicais Ltda",Performance,,,,,,,,,,DRAMA,T-932.546.398-7,True,artist_alias,Relatório UBEM - Canal Brasil
Experimente,2025-03-15 00:00:00,Drama,"Felipe Neo,Rico Dalasam",Rico Dalasam,"Bmg Rights Management Brasil Ltda,Boa Musica Brasil Direitos Musicais Ltda",Performance,,,,,,,,,,DRAMA,T-321.537.188-9,True,artist_alias,Relatório UBEM - Canal Brasil
Experimente,2025-03-16 00:00:00,Drama,"Felipe Neo,Rico Dalasam",Rico Dalasam,"Bmg Rights Management Brasil Ltda,Boa Musica Brasil Direitos Musicais Ltda",Performance,,,,,,,,,,DRAMA,T-039.662.293-7,True,artist_alias,Relatório UBEM - Canal Brasil
Experimente,2025-03-16 00:00:00,Drama,"Felipe Neo,Rico Dalasam",Rico Dalasam,"Bmg Rights Management Brasil Ltda,Boa Musica Brasil Direitos Musicais Ltda",Performance,,,,,,,,,,DRAMA,T-932.546.398-7,True,artist_alias,Relatório UBEM - Canal Brasil
Experimente,2025-03-16 00:00:00,Drama,"Felipe Neo,Rico Dalasam",Rico Dalasam,"Bmg Rights Management Brasil Ltda,Boa Musica Brasil Direitos Musicais Ltda",Performance,,,,,,,,,,DRAMA,T-321.537.188-9,True,artist_alias,Relatório UBEM - Canal Brasil
Lollapalooza 2025 - Jovem Dionísio,2025-03-28 00:00:00,Invisível,"Bernardo Crisostomo Pasquali,Bernardo Derviche Hey,Gabriel Dunajski Mendes,Gustavo Pimentel Karam,Rafael Dunajski Mendes",Jovem Dionisio,Unknown Publisher,Ao Vivo Performance,,,,,,,,,,INVISÍVEL,T-327.329.923-9,True,artist_alias,Relatório UBEM - Canal Brasil
