PROGRAMA,Exibição,Música,Autor,Intérprete,Tipo,Sincronização,VOD,Total,Unnamed: 9,__title_norm,__author_norm,__is_match,__sheet
VERÃO MAIOR PARANÁ,2024-01-19,MORENA,BRENO CESAR / DIEGO BARÃO / LUAN SANTANA / LUCAS SANTOS / SHYLTON FERNANDES,LUAN SANTANA,PE,0.0,52.3166,52.3166,,morena,luan santana,True,Relatorio_UBEM
VERÃO MAIOR PARANÁ,2024-01-19,VINGANCA,DOUGLAS CEZAR,LUAN SANTANA,PE,0.0,52.3166,52.3166,,vinganca,luan santana,True,Relatorio_UBEM
VERÃO MAIOR PARANÁ,2024-01-19,SINAIS,LUAN SANTANA,LUAN SANTANA,PE,0.0,52.3166,52.3166,,sinais,luan santana,True,Relatorio_UBEM
VERÃO MAIOR PARANÁ,2024-01-19,DEJA VU,LUAN SANTANA / LUCAS SANTOS / MATHEUS ALEIXO / MATHEUS MARCOLINO,LUAN SANTANA,PE,0.0,52.3166,52.3166,,deja vu,luan santana,True,Relatorio_UBEM
VERÃO MAIOR PARANÁ,2024-01-26,FOGUEIRA,JORGE ALVES,JORGE E MATEUS,PE,0.0,52.3166,52.3166,,fogueira,jorge e mateus,True,Relatorio_UBEM
VERÃO MAIOR PARANÁ,2024-01-26,LOGO EU,FELIPE RODRIGUES / SAMUEL DELMIR0O,REYNAN E RAYSSA,PE,0.0,52.3166,52.3166,,logo eu,reynan e rayssa,True,Relatorio_UBEM
VERÃO MAIOR PARANÁ,2024-01-26,MISTERIO,KEVIN NASCIMENTO BUENO,JORGE E MATEUS,PE,0.0,52.3166,52.3166,,misterio,jorge e mateus,True,Relatorio_UBEM
VERÃO MAIOR PARANÁ,2024-01-26,NOCAUTE,PAULO MASSADAS / MIHAIL PLOPSCHI / MICHAEL SULLIVAN / IVANILTON DE SOUZA,JORGE E MATEUS,PE,0.0,52.3166,52.3166,,nocaute,jorge e mateus,True,Relatorio_UBEM
MELHOR DA NOITE,2023-12-01,AURORA BOREAL,RAEL,RAEL,PE,0.0,52.3166,52.3166,,aurora boreal,rael,True,Relatorio_UBEM
MELHOR DA NOITE,2023-12-11,ELEANOR RIGBY,JOHN LENNON / PAUL MC CARTNEY,A MELHOR BANDA DA NOITE,PE,0.0,52.3166,52.3166,,eleanor rigby,a melhor banda da noite,True,Relatorio_UBEM
MELHOR DA NOITE,2023-12-11,CHOCOLATE,TIM MAIA,TIM MAIA,BK,0.0,104.6332,104.6332,,chocolate,tim maia,True,Relatorio_UBEM
MELHOR DA NOITE,2023-12-11,PROPOSTA,LUIZ FELIPE DA SILVA BARROS / PEDRO FONSECA DE SOUZA FILHO,ANDREA LAIS / FELIPE BARROS / MESASONORA / NIVEA ARAUJO / PEDRO FONSECA,DM,0.0,73.2431,73.2431,,proposta,andrea lais / felipe barros / mesasonora / nivea araujo / pedro fonseca,True,Relatorio_UBEM
MELHOR DA NOITE,2023-12-11,CHOCOLATE,TIM MAIA,TIM MAIA,DM,0.0,73.2431,73.2431,,chocolate,tim maia,True,Relatorio_UBEM
MELHOR DA NOITE,2023-12-15,TEU SEGREDO,THIAGUINHO / FELIPE SAAB / BILLY SP,JEITO MOLEQUE                      ,PE,0.0,52.3166,52.3166,,teu segredo,jeito moleque,True,Relatorio_UBEM
MELHOR DA NOITE,2023-12-20,REVOADA,BRUNO OLIVIERI/ LUÍSA PITTA,TUKUM,DM,0.0,73.2431,73.2431,,revoada,tukum,True,Relatorio_UBEM
MELHOR DA NOITE,2023-12-20,PESCADOR,SERGIO CASSIANO,MESTRE AMBROSIO,DM,0.0,73.2431,73.2431,,pescador,mestre ambrosio,True,Relatorio_UBEM
MELHOR DA NOITE,2023-12-26,FASHION,GIORGIO TUINFORT / DAVID GUETTA / LADY GAGA / PAUL DJ WHITE SHADOW BLAIR / WILLIAM ADAMS,LADY GAGA,DM,0.0,73.2431,73.2431,,fashion,lady gaga,True,Relatorio_UBEM
PROGRAMA DO JOÂO,2023-10-21,ESPELHO,MC DAVI,RONALD DJ / MC DAVI,PE,747.38,52.3166,799.6966,,espelho,ronald dj / mc davi,True,Relatorio_UBEM
PROGRAMA DO JOÂO,2023-10-21,BIPOLAR,MC DAVI / MC DON JUAN / MC PEDRINHO / DJ 900,RONALD DJ / MC DAVI,PE,747.38,52.3166,799.6966,,bipolar,ronald dj / mc davi,True,Relatorio_UBEM
PROGRAMA DO JOÂO,2023-10-28,VERMELHO ,CHICO DA SILVA,CALOUROS,PE,747.38,52.3166,799.6966,,vermelho,calouros,True,Relatorio_UBEM
PROGRAMA DO JOÂO,2023-10-28,LUA CHEIA,AMANDA CORONHA / BIBI / MAYRA / WANESSA CAMARGO,WANESSA CAMARGO,PE,747.38,52.3166,799.6966,,lua cheia,wanessa camargo,True,Relatorio_UBEM
BAND ESPORTE CLUBE,2024-02-03,AMANHECER,GINO/ LIPE BADE/ SAM ALVES/ WILL,SAM ALVES,BK,0.0,62.7795,62.7795,,amanhecer,sam alves,True,Relatorio_UBEM
BAND ESPORTE CLUBE,2024-02-10,MACETANDO,IVETE SANGALO / LUCIANO CHAVES / SAMIR TRINDADE,IVETE SANGALO / LUDMILLA,BK,0.0,62.7795,62.7795,,macetando,ivete sangalo / ludmilla,True,Relatorio_UBEM
BAND ESPORTE CLUBE,2024-02-10,MACETANDO,IVETE SANGALO / LUCIANO CHAVES / SAMIR TRINDADE,IVETE SANGALO / LUDMILLA,BK,0.0,62.7795,62.7795,,macetando,ivete sangalo / ludmilla,True,Relatorio_UBEM
BAND ESPORTE CLUBE,2024-02-10,MACETANDO,IVETE SANGALO / LUCIANO CHAVES / SAMIR TRINDADE,IVETE SANGALO / LUDMILLA,BK,0.0,62.7795,62.7795,,macetando,ivete sangalo / ludmilla,True,Relatorio_UBEM
BAND ESPORTE CLUBE,2024-02-10,FLASHBACK,CAIO GIOVANI / GABRIELE OLIVEIRA / MARVVILA,LEO SANTANA / MARVVILA,BK,0.0,62.7795,62.7795,,flashback,leo santana / marvvila,True,Relatorio_UBEM
BAND ESPORTE CLUBE,2024-02-10,ROSA,PIERRI ONASSIS,OLODUM / PERICLES,BK,0.0,62.7795,62.7795,,rosa,olodum / pericles,True,Relatorio_UBEM
BAND ESPORTE CLUBE,2024-02-17,VIVRE LA VIE,E VIDAL DE FONESECA / FRANCESCO DE BENEDITTIS,KELLY JOYCE,BK,0.0,62.7795,62.7795,,vivre la vie,kelly joyce,True,Relatorio_UBEM
BAND FOLIA,2024-02-09,MACETANDO,IVETE SANGALO / LUCIANO CHAVES / SAMIR TRINDADE,IVETE SANGALO / LUDMILLA,PE,0.0,52.3166,52.3166,,macetando,ivete sangalo / ludmilla,True,Relatorio_UBEM
BAND FOLIA,2024-02-09,VAI NO CHAO,UEDSON PERICLES / ED NOBRE,LEO SANTANA,PE,0.0,52.3166,52.3166,,vai no chao,leo santana,True,Relatorio_UBEM
BAND FOLIA,2024-02-10,MACETANDO,IVETE SANGALO / LUCIANO CHAVES / SAMIR TRINDADE,IVETE SANGALO,PE,0.0,52.3166,52.3166,,macetando,ivete sangalo,True,Relatorio_UBEM
BAND FOLIA,2024-02-10,ANJOS,FALCÃO,MARCELO FALCAO,PE,0.0,52.3166,52.3166,,anjos,marcelo falcao,True,Relatorio_UBEM
BAND FOLIA,2024-02-10,MACETANDO,IVETE SANGALO / LUCIANO CHAVES / SAMIR TRINDADE,LEO SANTANA,PE,0.0,52.3166,52.3166,,macetando,leo santana,True,Relatorio_UBEM
BAND FOLIA,2024-02-10,AI AI AI,ARNOLPHO LIMA FILHO / VANESSA DA MATA,VANESSA DA MATA,PE,0.0,52.3166,52.3166,,ai ai ai,vanessa da mata,True,Relatorio_UBEM
BAND FOLIA,2024-02-10,MACETANDO,IVETE SANGALO / LUCIANO CHAVES / SAMIR TRINDADE,IVETE SANGALO,PE,0.0,52.3166,52.3166,,macetando,ivete sangalo,True,Relatorio_UBEM
BAND FOLIA,2024-02-11,MACETANDO,IVETE SANGALO / LUCIANO CHAVES / SAMIR TRINDADE,IVETE SANGALO / GILMELANDIA,PE,0.0,52.3166,52.3166,,macetando,ivete sangalo / gilmelandia,True,Relatorio_UBEM
BAND FOLIA,2024-02-11,PODEROSA,NELSON ALVES DAS NEVES FILHO,THIAGUINHO,PE,0.0,52.3166,52.3166,,poderosa,thiaguinho,True,Relatorio_UBEM
BAND FOLIA,2024-02-11,MACETANDO,IVETE SANGALO / LUCIANO CHAVES / SAMIR TRINDADE,XANDDY HARMONIA,PE,0.0,52.3166,52.3166,,macetando,xanddy harmonia,True,Relatorio_UBEM
BAND FOLIA,2024-02-11,ZIRIGUIDUM,GILENO GOMES/ GILMAR GOMES,FILHOS DE JORGE,PE,0.0,52.3166,52.3166,,ziriguidum,filhos de jorge,True,Relatorio_UBEM
BAND FOLIA,2024-02-12,MACETANDO,IVETE SANGALO / LUCIANO CHAVES / SAMIR TRINDADE,IVETE SANGALO,PE,0.0,52.3166,52.3166,,macetando,ivete sangalo,True,Relatorio_UBEM
BAND FOLIA,2024-02-12,MASCARA,PRISCILLA NOVAES LEONE,PITTY,PE,0.0,52.3166,52.3166,,mascara,pitty,True,Relatorio_UBEM
BAND FOLIA,2024-02-13,MACETANDO,IVETE SANGALO / LUCIANO CHAVES / SAMIR TRINDADE,IVETE SANGALO,PE,0.0,52.3166,52.3166,,macetando,ivete sangalo,True,Relatorio_UBEM
BAND FOLIA,2024-02-13,MARACATU                                          ,ALCEU VALENÇA SOBRE POEMA DE ASCENSO FERREIRA,ALCEU VALENÇA,PE,0.0,52.3166,52.3166,,maracatu,alceu valenca,True,Relatorio_UBEM
BAND FOLIA,2024-02-13,HEY,IVETE SANGALO,IVETE SANGALO,PE,0.0,52.3166,52.3166,,hey,ivete sangalo,True,Relatorio_UBEM
BAND FOLIA,2024-02-13,PACIENCIA,DUDU FALCAO / LENINE,LENINE,PE,0.0,52.3166,52.3166,,paciencia,lenine,True,Relatorio_UBEM
BAND FOLIA,2024-02-13,FAVELA,LUCIANO BARROS / ALE / MARROM / SAMUEL ALAN / DANIEL MARLEY GUIMARAES BARRETO,LEO SANTANA,PE,0.0,52.3166,52.3166,,favela,leo santana,True,Relatorio_UBEM
