01-JAN2024-SINCRONIZACAO MUSICAL-TV APARECIDA.xlsx	8	band UNIFICADO out dez 2023 jan fev 2024.xls,51,8,43,0.0
03-MAR2024-SINCRONIZACAO MUSICAL-TV APARECIDA.xlsx	18	band UNIFICADO out dez 2023 jan fev 2024.xls,51,8,43,0.0
12-DEZ2023-SINCRONIZACAO MUSICAL-TV APARECIDA.xlsx	19	band UNIFICADO out dez 2023 jan fev 2024.xls,51,8,43,0.0
