TÍTULO ORIGINAL,TÍTULO LOCAL,DATA EXIBIÇÃO,HORÁRIO DE EXIBIÇÃO,NÚMERO EPISÓDIO/CAPÍTULO,TEMPORADA,TÍTULO ORIGINAL DO EPISÓDIO,TÍTULO LOCAL DO EPISÓDIO,PRODUTOR,ANO DE PRODUÇÃO,DIRETOR,ORDEM EXECUÇÃO,TÍTULO DA OBRA MUSICAL,TIPO DE MÚSICA,AUTOR,INTERPRETE,SEGUNDOS,CLASSIFICAÇÃO,COMPOSITOR(ES) DAS TRILHAS DO PROGRAMA,EDITORA,GRAVADORA,ISRC,SUBMIX / TIPO DE ARRANJO,__title_norm,__author_norm,__is_match,__sheet
SOM BRASIL,,11/10/2023,23:19:34,11102023,,ALCIONE,,GLOBO,,,21,PACIENCIA,MUSICA COMERCIAL,EDNA SO,"ALCIONE,FERRUGEM",3,DM,,SONY MUSIC PUBLISHING,,,,paciencia,"alcione,ferrugem",True,MusicCueSheet_TvAberta_Out23
VAI QUE COLA,,13/10/2023,02:28:04,CHA DAS FADAS,,4ª TEMPORADA,,GLOBO,,,29,VINGANCA,MUSICA COMERCIAL,LUPICINIO RODRIGUES,LINDA BATISTA,25,BK,,VITALE,,,,vinganca,linda batista,True,MusicCueSheet_TvAberta_Out23
TOMORROWLAND BRASIL 2023,TOMORROWLAND BRASIL 2023,14/10/2023,00:10:31,14102023,,MELHORES MOMENTOS,,GLOBO,2023.0,,9,AURORA,MUSICA COMERCIAL,"MARTIJN GARRITSEN,MATEUSZ OWSIAK",MARTIN GARRIX,63,PE,,"A DESCOBRIR,A DESCOBRIR",,,,aurora,martin garrix,True,MusicCueSheet_TvAberta_Out23
DOMINGAO COM HUCK,DOMINGÃO COM HUCK,15/10/2023,18:05:53,110,,,,GLOBO,2021.0,DIREÇÃO ARTÍSTICA DE HÉLIO VARGAS E DIREÇÃO GERAL DE CLARISSA LOPES.,5,VAMOS ACORDAR,MUSICA COMERCIAL,JAIR OLIVEIRA,GRANDES PEQUENINOS,16,BK,,A DESCOBRIR,S DE SAMBA EDITORA LTDA,,,vamos acordar,grandes pequeninos,True,MusicCueSheet_TvAberta_Out23
DOMINGAO COM HUCK,DOMINGÃO COM HUCK,15/10/2023,18:05:53,110,,,,GLOBO,2021.0,DIREÇÃO ARTÍSTICA DE HÉLIO VARGAS E DIREÇÃO GERAL DE CLARISSA LOPES.,6,FORA DOS STORIES,MUSICA COMERCIAL,"BRENNO CASAGRANDE,LUCAS MACENNA,SAYMON MARQUES,SHYLTON FERNANDES",MARI FERNANDEZ,15,BK,,"WARNER CHAPPELL,SONY MUSIC PUBLISHING,WARNER CHAPPELL,WARNER CHAPPELL",SONY MUSIC,,,fora dos stories,mari fernandez,True,MusicCueSheet_TvAberta_Out23
DOMINGAO COM HUCK,DOMINGÃO COM HUCK,15/10/2023,18:05:53,110,,,,GLOBO,2021.0,DIREÇÃO ARTÍSTICA DE HÉLIO VARGAS E DIREÇÃO GERAL DE CLARISSA LOPES.,143,DESAFIO,MUSICA COMERCIAL,"DULLER,F ALCANTARA,TONHO,XANDY",HARMONIA,2,BK,,"UNIVERSAL MGB,UNIVERSAL MGB,UNIVERSAL MGB,UNIVERSAL MGB",SONY MUSIC,,,desafio,harmonia,True,MusicCueSheet_TvAberta_Out23
DOMINGAO COM HUCK,DOMINGÃO COM HUCK,15/10/2023,18:05:53,110,,,,GLOBO,2021.0,DIREÇÃO ARTÍSTICA DE HÉLIO VARGAS E DIREÇÃO GERAL DE CLARISSA LOPES.,145,SOCADONA,MUSICA COMERCIAL,"CAROLINA COLÓN JUARBE,CLIFFORD RAY SMITH,HELDER VILAS BOAS,JEFFERSON JUNIOR,JEFFERSON JUNIOR,JUAN JOSÉ BRITO,LUDMILLA,MARIAH ANGELIQUE PEREZ,UMBERTO TAVARES",LUDMILLA,5,BK,,"ROCKING GORILLAS,ROCKING GORILLAS,A DESCOBRIR,BMG,ORB MUSIC,WARNER CHAPPELL,WARNER CHAPPELL,UNIVERSAL MGB,ORB MUSIC",WM BRAZIL,,,socadona,ludmilla,True,MusicCueSheet_TvAberta_Out23
DOMINGAO COM HUCK,DOMINGÃO COM HUCK,15/10/2023,18:05:53,110,,,,GLOBO,2021.0,DIREÇÃO ARTÍSTICA DE HÉLIO VARGAS E DIREÇÃO GERAL DE CLARISSA LOPES.,150,BEIJINHO NO OMBRO,MUSICA COMERCIAL,"ANDRE VIEIRA,ANDRE VIEIRA,DENNIS DJ,PARDAL,WALLACE VIANA,WALLACE VIANA",VALESCA POPOZUDA,1,BK,,"UNIVERSAL MGB,WARNER CHAPPELL,SONY MUSIC PUBLISHING,ADDAF,UNIVERSAL MGB,WARNER CHAPPELL",BERGER MOBILE,,,beijinho no ombro,valesca popozuda,True,MusicCueSheet_TvAberta_Out23
O MELHOR DA RESENHA,,15/10/2023,23:38:31,15102023,,DF,,GLOBO,,,9,LABIRINTO,MUSICA COMERCIAL,MARCO AURELIO,VITOR E CADU,24,PE,,EDITORA PE DE VERSO,,,,labirinto,vitor e cadu,True,MusicCueSheet_TvAberta_Out23
O MELHOR DA RESENHA,,15/10/2023,23:38:31,15102023,,DF,,GLOBO,,,10,LABIRINTO,MUSICA COMERCIAL,MARCO AURELIO,VITOR E CADU,60,PE,,EDITORA PE DE VERSO,,,,labirinto,vitor e cadu,True,MusicCueSheet_TvAberta_Out23
