TÍTULO ORIGINAL,TÍTULO LOCAL,DATA EXIBIÇÃO,HORÁRIO DE EXIBIÇÃO,NÚMERO EPISÓDIO/CAPÍTULO,TEMPORADA,TÍTULO ORIGINAL DO EPISÓDIO,TÍTULO LOCAL DO EPISÓDIO,PRODUTOR,ANO DE PRODUÇÃO,DIRETOR,ORDEM EXECUÇÃO,TÍTULO DA OBRA MUSICAL,TIPO DE MÚSICA,AUTOR,INTERPRETE,SEGUNDOS,CLASSIFICAÇÃO,COMPOSITOR(ES) DAS TRILHAS DO PROGRAMA,EDITORA,GRAVADORA,ISRC,SUBMIX / TIPO DE ARRANJO,__title_norm,__author_norm,__is_match,__sheet
VAI QUE COLA,,16/10/2023,03:28:09,O MEIER CONTRA ATACA,,4ª TEMPORADA,,GLOBO,,,4,CRIMINAL,MUSICA COMERCIAL,"MAX MARTIN,SHELLBACK,TIFFANY AMBER",BRITNEY SPEARS,77,BK,,"ABRAMUS,ABRAMUS,UNIVERSAL MGB",,,,criminal,britney spears,True,MusicCueSheet_TvAberta_Out23
VAI QUE COLA,,17/10/2023,02:43:36,MERCADO PARARELO,,4ª TEMPORADA,,GLOBO,,,2,BAILE DE FAVELA,MUSICA COMERCIAL,MC JOAO,MC JOAO,42,BK,,SONY MUSIC PUBLISHING,,,,baile de favela,mc joao,True,MusicCueSheet_TvAberta_Out23
VAI QUE COLA,,17/10/2023,02:43:36,MERCADO PARARELO,,4ª TEMPORADA,,GLOBO,,,10,MALANDRAMENTE,MUSICA COMERCIAL,MC NANDINHO,ELENCO VAI QUE COLA,10,PE,,SONY MUSIC PUBLISHING,,,,malandramente,elenco vai que cola,True,MusicCueSheet_TvAberta_Out23
CONVERSA COM BIAL,CONVERSA COM BIAL,20/10/2023,01:02:26,1266,,,,GLOBO,2023.0,MONICA ALMEIDA,7,MEU BEM,MUSICA COMERCIAL,"JOHN LENNON,PAUL MCCARTNEY,RONNIE VON",WANDERLEA,3,PE,,"SONY MUSIC PUBLISHING,SONY MUSIC PUBLISHING,SONY MUSIC PUBLISHING",,,,meu bem,wanderlea,True,MusicCueSheet_TvAberta_Out23
VAI QUE COLA,,20/10/2023,02:29:23,QUE PAIS E ESSE,,4ª TEMPORADA,,GLOBO,,,4,CRIMINAL,MUSICA COMERCIAL,"MAX MARTIN,SHELLBACK,TIFFANY AMBER",BRITNEY SPEARS,21,BK,,"ABRAMUS,ABRAMUS,UNIVERSAL MGB",,,,criminal,britney spears,True,MusicCueSheet_TvAberta_Out23
VAI QUE COLA,,20/10/2023,02:29:23,QUE PAIS E ESSE,,4ª TEMPORADA,,GLOBO,,,15,OPINIAO,MUSICA COMERCIAL,ZE KETI,SAMANTHA SCHMUTZ,14,PE,,CORISCO,,,,opiniao,samantha schmutz,True,MusicCueSheet_TvAberta_Out23
PIPOCA DA IVETE 2023,PIPOCA DA IVETE,22/10/2023,14:19:35,6,,,,GLOBO,202.0,DIREÇÃO ARTÍSTICA DE CRESO EDUARDO MACEDO E DIREÇÃO DE GÊNERO DE BONINHO,34,SAMURAI,MUSICA COMERCIAL,DJAVAN,MARCOS OOURUN,115,PE,,LUANDA,,,,samurai,marcos oourun,True,MusicCueSheet_TvAberta_Out23
SANTA MISSA,SANTA MISSA,22/10/2023,05:59:00,22102023,,,,GLOBO,2023.0,ALI KAMEL,11,DESERTO,MUSICA COMERCIAL,ANDERSON FREIRE,PADRE MARCELO ROSSI,159,PE,,A DESCOBRIR,,,,deserto,padre marcelo rossi,True,MusicCueSheet_TvAberta_Out23
VAI QUE COLA,,25/10/2023,03:01:32,VIRGEM DE 40 ANOS,,7ª TEMPORADA,,GLOBO,,,6,FULERAGEM,MUSICA COMERCIAL,"DJ GEGE,MC WM",MC WM,11,BK,,"WARNER CHAPPELL,WARNER CHAPPELL",,,,fuleragem,mc wm,True,MusicCueSheet_TvAberta_Out23
ENCONTRO,,27/10/2023,09:29:40,2910,,,,GLOBO,,,15,TO COM SAUDADE,MUSICA COMERCIAL,"LUIZ CLAUDIO PICOLE,PRATEADO",RODRIGUINHO,66,PE,,"WARNER CHAPPELL,WARNER CHAPPELL",,,,to com saudade,rodriguinho,True,MusicCueSheet_TvAberta_Out23
