TÍTULO ORIGINAL,TÍTULO LOCAL,DATA EXIBIÇÃO,HORÁRIO DE EXIBIÇÃO,NÚMERO EPISÓDIO/CAPÍTULO,TEMPORADA,TÍTULO ORIGINAL DO EPISÓDIO,TÍTULO LOCAL DO EPISÓDIO,PRODUTOR,ANO DE PRODUÇÃO,DIRETOR,ORDEM EXECUÇÃO,TÍTULO DA OBRA MUSICAL,TIPO DE MÚSICA,AUTOR,INTERPRETE,SEGUNDOS,CLASSIFICAÇÃO,COMPOSITOR(ES) DAS TRILHAS DO PROGRAMA,EDITORA,GRAVADORA,ISRC,SUBMIX / TIPO DE ARRANJO,__title_norm,__author_norm,__is_match,__sheet
RESISTENCIA NEGRA,,20/11/2023,,1.0,,,,,,,1,INVISIVEL,MUSICA COMERCIAL,"FILIPE CARTAXO,MARCELO SEKO,ROBERTO BARRETO,RUSSO PASSAPUSSO",BAIANA SYSTEM,29,TA,,"UNIVERSAL MGB,UNIVERSAL MGB,UNIVERSAL MGB,UNIVERSAL MGB",,,,invisivel,baiana system,True,MusicCueSheet_Globoplay_Nov23
RESISTENCIA NEGRA,,21/11/2023,,2.0,,,,,,,4,INVISIVEL,MUSICA COMERCIAL,"FILIPE CARTAXO,MARCELO SEKO,ROBERTO BARRETO,RUSSO PASSAPUSSO",BAIANA SYSTEM,29,TA,,"UNIVERSAL MGB,UNIVERSAL MGB,UNIVERSAL MGB,UNIVERSAL MGB",,,,invisivel,baiana system,True,MusicCueSheet_Globoplay_Nov23
RESISTENCIA NEGRA,,22/11/2023,,3.0,,,,,,,4,INVISIVEL,MUSICA COMERCIAL,"FILIPE CARTAXO,MARCELO SEKO,ROBERTO BARRETO,RUSSO PASSAPUSSO",BAIANA SYSTEM,29,TA,,"UNIVERSAL MGB,UNIVERSAL MGB,UNIVERSAL MGB,UNIVERSAL MGB",,,,invisivel,baiana system,True,MusicCueSheet_Globoplay_Nov23
RESISTENCIA NEGRA,,23/11/2023,,4.0,,,,,,,3,INVISIVEL,MUSICA COMERCIAL,"FILIPE CARTAXO,MARCELO SEKO,ROBERTO BARRETO,RUSSO PASSAPUSSO",BAIANA SYSTEM,29,TA,,"UNIVERSAL MGB,UNIVERSAL MGB,UNIVERSAL MGB,UNIVERSAL MGB",,,,invisivel,baiana system,True,MusicCueSheet_Globoplay_Nov23
RESISTENCIA NEGRA,,24/11/2023,,5.0,,,,,,,2,INVISIVEL,MUSICA COMERCIAL,"FILIPE CARTAXO,MARCELO SEKO,ROBERTO BARRETO,RUSSO PASSAPUSSO",BAIANA SYSTEM,29,TA,,"UNIVERSAL MGB,UNIVERSAL MGB,UNIVERSAL MGB,UNIVERSAL MGB",,,,invisivel,baiana system,True,MusicCueSheet_Globoplay_Nov23
RITMO DE NATAL,,30/11/2023,,,,,,,,,9,DINGO BELL,MUSICA COMERCIAL,MC BIGODINHO,MC TETEU,43,TP,,MC BIGODINHO,,,,dingo bell,mc teteu,True,MusicCueSheet_Globoplay_Nov23
