EDITORA,PROGRAMA,NÚMERO PROGRAMA,EXIBIÇÃO (GRAVADO OU REPRISE),"CATEGORIA DO PROGRAMA (PROGRAMA, NOVELA)",DATA DE EXIBIÇÃO,NOME DA MÚSICA,AUTOR,INTERPRETE,TIPO DE SINCRONIZAÇÃO,PERCENTUAL A PAGAR - EDITORA,VALOR A PAGAR - EDITORA,uncertain_match,Matched Title,Matched Identifier/ISWC,Uncertain Match,Eligibility Basis,__source_sheet
DIVERSAS,DOMINGO LEGAL,1575,GRAVADO,PROGRAMA,17/03/2024,MILHIANOS - AO VIVO,Vinny Peres / EDU MOURA / FELIPE OLIVER / Rafa Almeida,RAFA ALMEIDA,PERFORMANCE,100.00%,836.65,,,,True,artist_alias,Relatório Solicitação
DIVERSAS,DOMINGO LEGAL,1575,GRAVADO,PROGRAMA,17/03/2024,MILHIANOS - AO VIVO,Vinny Peres / EDU MOURA / FELIPE OLIVER / Rafa Almeida,RAFA ALMEIDA,FUNDO MUSICAL,100.00%,1673.31,,,,True,artist_alias,Relatório Solicitação
UNIVERSAL MUSIC PUBLISHING MGB BRASIL LTDA,ELIANA (REPRISE),755,REPRISE,PROGRAMA,10/03/2024,PORTA DO TEU PRÉDIO,DEKO / TALES DE POLLI / TERCIO DE POLLI,MANEVA,PERFORMANCE,100.00%,390.96,,,,True,artist_alias,Relatório Solicitação
BMG RIGHTS MANAGEMENT BRASIL LTDA,CIRCO DO TIRU,1,GRAVADO,PROGRAMA,16/03/2024,AMERICANA NA VAQUEJADA,ANTONIO MENDES ALVES / BRUNO HENRIQUE SANTOS DA SILVA / ERLANDERSON MATOS PEREIRA SILVA,NATTAN,PERFORMANCE,17.00%,142.23,,,,True,artist_alias,Relatório Solicitação
DIVERSAS,CIRCO DO TIRU,1,GRAVADO,PROGRAMA,16/03/2024,AMERICANA NA VAQUEJADA,ANTONIO MENDES ALVES / BRUNO HENRIQUE SANTOS DA SILVA / ERLANDERSON MATOS PEREIRA SILVA,NATTAN,PERFORMANCE,83.00%,694.42,,,,True,artist_alias,Relatório Solicitação
DIVERSAS,A PRAÇA É NOSSA,1764,GRAVADO,PROGRAMA,01/03/2024,TEMPO DE ALEGRIA,Costa Silva Filipe / De Sant Anna Carlos Magno / Santos Neilton Cerqueira Dos,IVETE SANGALO,FUNDO MUSICAL,100.00%,1673.31,,,,True,artist_alias,Relatório Solicitação
DIVERSAS,PROGRAMA SILVIO SANTOS,823,GRAVADO,PROGRAMA,17/03/2024,TÁ OK,DE LIMA GOMES DENNISON / MC KEVIN O CHRIS,KEVIN O CHRIS,FUNDO MUSICAL,100.00%,1673.31,,,,True,artist_alias,Relatório Solicitação
BMG RIGHTS MANAGEMENT BRASIL LTDA,PROGRAMA SILVIO SANTOS,823,GRAVADO,PROGRAMA,17/03/2024,TEM CABARÉ ESSA NOITE,D LESLY D LORA / FLAVINHO DO KADET / GEOFFREY ROYCE ROJAS / JAQUEZ JONATHAN,NATTAN,FUNDO MUSICAL,20.00%,334.66,,,,True,artist_alias,Relatório Solicitação
PEERMUSIC DO BRASIL EDIÇÕES MUSICAIS LTDA,PROGRAMA SILVIO SANTOS,823,GRAVADO,PROGRAMA,17/03/2024,TEM CABARÉ ESSA NOITE,D LESLY D LORA / FLAVINHO DO KADET / GEOFFREY ROYCE ROJAS / JAQUEZ JONATHAN,NATTAN,FUNDO MUSICAL,40.00%,669.32,,,,True,artist_alias,Relatório Solicitação
WARNER CHAPPELL EDIÇÕES MUSICAIS LTDA,PROGRAMA SILVIO SANTOS,823,GRAVADO,PROGRAMA,17/03/2024,TEM CABARÉ ESSA NOITE,D LESLY D LORA / FLAVINHO DO KADET / GEOFFREY ROYCE ROJAS / JAQUEZ JONATHAN,NATTAN,FUNDO MUSICAL,40.00%,669.32,,,,True,artist_alias,Relatório Solicitação
BMG RIGHTS MANAGEMENT BRASIL LTDA,PROGRAMA SILVIO SANTOS,823,GRAVADO,PROGRAMA,17/03/2024,TEM CABARÉ ESSA NOITE,D LESLY D LORA / FLAVINHO DO KADET / GEOFFREY ROYCE ROJAS / JAQUEZ JONATHAN,NATTAN,PERFORMANCE,20.00%,167.33,,,,True,artist_alias,Relatório Solicitação
