TÍTULO ORIGINAL,TÍTULO LOCAL,DATA EXIBIÇÃO,HORÁRIO DE EXIBIÇÃO,NÚMERO EPISÓDIO/CAPÍTULO,TEMPORADA,TÍTULO ORIGINAL DO EPISÓDIO,TÍTULO LOCAL DO EPISÓDIO,PRODUTOR,ANO DE PRODUÇÃO,DIRETOR,ORDEM EXECUÇÃO,TÍTULO DA OBRA MUSICAL,TIPO DE MÚSICA,AUTOR,INTERPRETE,SEGUNDOS,CLASSIFICAÇÃO,COMPOSITOR(ES) DAS TRILHAS DO PROGRAMA,EDITORA,GRAVADORA,ISRC,SUBMIX / TIPO DE ARRANJO,uncertain_match,Matched Title,Matched Identifier/ISWC,Uncertain Match,Eligibility Basis,__source_sheet
LET LOVE,,04/01/2024,,16,,,,,,,1,BABY BABY,MUSICA COMERCIAL,"ANDRE LAUDZ,PETER WOLF,SETH JUSTMAN,ZEGON",TROPKILLAZ,50,BK,,"BMG,WARNER CHAPPELL,WARNER CHAPPELL,BMG",,,,,,,True,artist_alias,MusicCueSheet_Globoplay_Jan24
LET LOVE,,04/01/2024,,16,,,,,,,11,POR SUPUESTO,MUSICA COMERCIAL,"IURI RIO BRANCO,MARINA SENA",MARINA SENA,69,BK,,"BOA MUSIC RIGHTS,BOA MUSIC RIGHTS",MARINA SENA,BX7O92000007,FULL MIX,,,,True,artist_alias,MusicCueSheet_Globoplay_Jan24
LET LOVE,,04/01/2024,,16,,,,,,,25,POR SUPUESTO,MUSICA COMERCIAL,"IURI RIO BRANCO,MARINA SENA",MARINA SENA,28,BK,,"BOA MUSIC RIGHTS,BOA MUSIC RIGHTS",MARINA SENA,BX7O92000007,FULL MIX,,,,True,artist_alias,MusicCueSheet_Globoplay_Jan24
