TÍTULO DA OBRA,AUTORES,EDITORA,INTÉRPRETE,PROGRAMA,Nº,DATA,SINCRONIZAÇÃO,REPRISE,INTERNET,uncertain_match,Matched Title,Matched Identifier/ISWC,Uncertain Match,Eligibility Basis,__source_sheet
ESQUEÇA,ANTHONY PETER HATCH ( FRED NIGHTINGALE ) / ROBERTA PEREZ CORTE REAL ( ROBERTA CORTE REAL ),SEM INFORMAÇÃO,PEDRO LIMA,APARECIDA SERTANEJA,467,2023-12-24,PERFORMANCE,REPRISE,COM DIGITAL,,,,True,artist_alias,Sincronização Musical
O BOM,CARLOS EDUARDO CORTE IMPERIAL ( BILL CESAR ),SONY - 100%,PEDRO LIMA,APARECIDA SERTANEJA,467,2023-12-24,PERFORMANCE,REPRISE,COM DIGITAL,,,,True,artist_alias,Sincronização Musical
