PROGRAMA,Exibição,Música,Autor,Intérprete,Tipo,Sincronização,VOD,Total,Unnamed: 9,uncertain_match,Matched Title,Matched Identifier/ISWC,Uncertain Match,Eligibility Basis,__source_sheet
MELHOR DA NOITE,2024-02-19,BANHO DE FOLHAS,LUEDJI LUNA,LUEDJI LUNA,DM,0.0,73.2431,73.2431,,,,,True,artist_alias,Relatorio_UBEM
MELHOR DA NOITE,2024-02-26,RIACHO DO NÁVIO ,FAGNER,FAGNER,DM,0.0,73.2431,73.2431,,,,,True,artist_alias,Relatorio_UBEM
MELHOR DA NOITE,2024-02-26,FORRO NO ESCURO,LUIZ GONZAGA / ZE DANTAS,FAGNER,DM,0.0,73.2431,73.2431,,,,,True,artist_alias,Relatorio_UBEM
PROGRAMA DO JOÂO,2024-02-10,PRA FRENTE,FILIPE COSTA SILVA/ GIGI/ MANGO SANT ANNA,IVETE SANGALO,BK,1494.76,104.63,1599.3932,,,,,True,artist_alias,Relatorio_UBEM
VIRADA NA BAND 2024,2023-12-31,BOTA PRA FERVER,DURVAL LELYS,IVETE SANGALO,PE,0.0,52.3166,52.3166,,,,,True,artist_alias,Relatorio_UBEM
VIRADA NA BAND 2024,2023-12-31,BATUCADA,GIGI CERQUEIRA / IVETE SANGALO / SAMIR TRINDADE,IVETE SANGALO,PE,0.0,52.3166,52.3166,,,,,True,artist_alias,Relatorio_UBEM
VIRADA NA BAND 2024,2023-12-31,MUITO OBRIGADO AXE,ANTONIO CARLOS SANTOS DE FREITAS,IVETE SANGALO,PE,0.0,52.3166,52.3166,,,,,True,artist_alias,Relatorio_UBEM
VIRADA NA BAND 2024,2023-12-31,FARAO DIVINDADE DO EGITO,LUCIANO GOMES,IVETE SANGALO,PE,0.0,52.3166,52.3166,,,,,True,artist_alias,Relatorio_UBEM
VIRADA NA BAND 2024,2023-12-31,PREFIXO DO VERÃO,BETO SILVA,IVETE SANGALO,PE,0.0,52.3166,52.3166,,,,,True,artist_alias,Relatorio_UBEM
VIRADA NA BAND 2024,2023-12-31,"ME ABRAÇA, ME BEIJA ",DURVAL LELYS,IVETE SANGALO,PE,0.0,52.3166,52.3166,,,,,True,artist_alias,Relatorio_UBEM
VIRADA NA BAND 2024,2023-12-31,SORTE GRANDE,LOURENÇO,IVETE SANGALO,PE,0.0,52.3166,52.3166,,,,,True,artist_alias,Relatorio_UBEM
VIRADA NA BAND 2024,2023-12-31,MALVADÃO 3,XAMÃ/,XAMÃ,PE,0.0,52.3166,52.3166,,,,,True,artist_alias,Relatorio_UBEM
JOGO ABERTO,2023-12-04,CABECINHA NO OMBRO,FAGNER,FAGNER,BK,0.0,104.6332,104.6332,,,,,True,artist_alias,Relatorio_UBEM
JOGO ABERTO,2023-12-19,TA OK,KEVIN O CHRIS,DENNIS DJ,BK,0.0,104.6332,104.6332,,,,,True,artist_alias,Relatorio_UBEM
JOGO ABERTO,2023-12-19,TA OK,KEVIN O CHRIS,DENNIS DJ,BK,0.0,104.6332,104.6332,,,,,True,artist_alias,Relatorio_UBEM
