TÍTULO ORIGINAL,TÍTULO LOCAL,DATA EXIBIÇÃO,HORÁRIO DE EXIBIÇÃO,NÚMERO EPISÓDIO/CAPÍTULO,TEMPORADA,TÍTULO ORIGINAL DO EPISÓDIO,TÍTULO LOCAL DO EPISÓDIO,PRODUTOR,ANO DE PRODUÇÃO,DIRETOR,ORDEM EXECUÇÃO,TÍTULO DA OBRA MUSICAL,TIPO DE MÚSICA,AUTOR,INTERPRETE,SEGUNDOS,CLASSIFICAÇÃO,COMPOSITOR(ES) DAS TRILHAS DO PROGRAMA,EDITORA,GRAVADORA,ISRC,SUBMIX / TIPO DE ARRANJO,__title_norm,__author_norm,__is_match,__sheet
MAIS VOCE,MAIS VOCÊ,22/08/2023,10:35:38,5887,,,,GLOBO,2023.0,VIVI DE MARCO,58,VAMOS FUGIR,MUSICA COMERCIAL,"GILBERTO GIL,LIMINHA",ROGERIO FLAUSINO,18,TE,,"SONY MUSIC PUBLISHING,WARNER CHAPPELL",SONY MUSIC,,,vamos fugir,rogerio flausino,True,MusicCueSheet_Agosto23
VAI QUE COLA,,23/08/2023,02:36:13,SISTAS,,2ª TEMPORADA,,GLOBO,,,2,BEIJINHO NO OMBRO,MUSICA COMERCIAL,"ANDRE VIEIRA,ANDRE VIEIRA,DENNIS DJ,PARDAL,WALLACE VIANA,WALLACE VIANA","DULCE MARIA,MARIANA XIMENES,VALESCA POPOZUDA",79,BK,,"UNIVERSAL MGB,WARNER CHAPPELL,SONY MUSIC PUBLISHING,ADDAF,UNIVERSAL MGB,WARNER CHAPPELL",,,,beijinho no ombro,"dulce maria,mariana ximenes,valesca popozuda",True,MusicCueSheet_Agosto23
VAI QUE COLA,,23/08/2023,02:36:13,SISTAS,,2ª TEMPORADA,,GLOBO,,,3,BEIJINHO NO OMBRO,MUSICA COMERCIAL,"ANDRE VIEIRA,ANDRE VIEIRA,DENNIS DJ,PARDAL,WALLACE VIANA,WALLACE VIANA","MARCUS MAJELLA,SAMANTHA SCHMUTZ",47,PE,,"UNIVERSAL MGB,WARNER CHAPPELL,SONY MUSIC PUBLISHING,ADDAF,UNIVERSAL MGB,WARNER CHAPPELL",,,,beijinho no ombro,"marcus majella,samantha schmutz",True,MusicCueSheet_Agosto23
ALOK EM COPACABANA,,26/08/2023,00:56:10,26082023,,MELHORES MOMENTOS,,GLOBO,2023.0,,20,INTRO,MUSICA COMERCIAL,"BARIA QURESHI,JAMIE SMITH,OLIVER SIM,ROMY MADLEY CROFT",ALOK,20,PE,,"UNIVERSAL MGB,UNIVERSAL MGB,UNIVERSAL MGB,UNIVERSAL MGB",,,,intro,alok,True,MusicCueSheet_Agosto23
ALTAS HORAS,ALTAS HORAS,26/08/2023,22:23:07,1128,,,,GLOBO,2023.0,SERGINHO GROISMAN  ,11,MALVADA,MUSICA COMERCIAL,"BRENO LIMA,RIVALDO SOARES,SHYLTON FERNANDES",ZÉ FELIPE,133,PE,,"MAJOR PRODUÇÕES,KALEW SOARES,WARNER CHAPPELL",,,,malvada,ze felipe,True,MusicCueSheet_Agosto23
FUZUE - REEXIBICAO 2023,,26/08/2023,01:05:18,12,,,,GLOBO,,,36,COISAS QUE EU SEI,MUSICA COMERCIAL,DUDU FALCAO,FELIPE AMORIM,159,TP,,WARNER CHAPPELL,ONEPLAY,,FULL MIX,coisas que eu sei,felipe amorim,True,MusicCueSheet_Agosto23
FUZUE - REEXIBICAO 2023,,26/08/2023,01:05:18,12,,,,GLOBO,,,37,COISAS QUE EU SEI,MUSICA COMERCIAL,DUDU FALCAO,FELIPE AMORIM,22,TP,,WARNER CHAPPELL,ONEPLAY,,BG,coisas que eu sei,felipe amorim,True,MusicCueSheet_Agosto23
FANTASTICO,FANTÁSTICO,27/08/2023,20:30:24,2601,,,,GLOBO,2023.0,ALI KAMEL,65,VERMELHO,MUSICA COMERCIAL,"DALESTE,GLORIA GROOVE,PABLO BISPO,RUXELL",GLORIA GROOVE-,24,PE,,"UNIVERSAL MGB,WARNER CHAPPELL,WARNER CHAPPELL,WARNER CHAPPELL",,,,vermelho,gloria groove-,True,MusicCueSheet_Agosto23
FANTASTICO,FANTÁSTICO,27/08/2023,20:30:24,2601,,,,GLOBO,2023.0,ALI KAMEL,66,VERMELHO,MUSICA COMERCIAL,"DALESTE,GLORIA GROOVE,PABLO BISPO,RUXELL",GLORIA GROOVE,24,BK,,"UNIVERSAL MGB,WARNER CHAPPELL,WARNER CHAPPELL,WARNER CHAPPELL",,,,vermelho,gloria groove,True,MusicCueSheet_Agosto23
FANTASTICO,FANTÁSTICO,27/08/2023,20:30:24,2601,,,,GLOBO,2023.0,ALI KAMEL,68,VERMELHO,MUSICA COMERCIAL,"DALESTE,GLORIA GROOVE,PABLO BISPO,RUXELL",GLORIA GROOVE,23,BK,,"UNIVERSAL MGB,WARNER CHAPPELL,WARNER CHAPPELL,WARNER CHAPPELL",,,,vermelho,gloria groove,True,MusicCueSheet_Agosto23
VAI QUE COLA,VAI QUE COLA,27/08/2023,00:42:00,ENCANTADORES DE COBRA,,10ª TEMPORADA,,GLOBO,2023.0,CARLO MILANI E ERNESTO PICCOLO,16,VINGANCA,MUSICA COMERCIAL,DOUGLAS CEZAR,LUAN SANTANA,22,BK,,R3 PRODUÇÕES,,,,vinganca,luan santana,True,MusicCueSheet_Agosto23
VAI QUE COLA,VAI QUE COLA,27/08/2023,00:42:00,LGBTXYZ,,2ª TEMPORADA,,GLOBO,2023.0,CARLO MILANI E ERNESTO PICCOLO,2,BEIJINHO NO OMBRO,MUSICA COMERCIAL,"ANDRE VIEIRA,ANDRE VIEIRA,DENNIS DJ,PARDAL,WALLACE VIANA,WALLACE VIANA",VALESCA POPOZUDA,88,BK,,"UNIVERSAL MGB,WARNER CHAPPELL,SONY MUSIC PUBLISHING,ADDAF,UNIVERSAL MGB,WARNER CHAPPELL",,,,beijinho no ombro,valesca popozuda,True,MusicCueSheet_Agosto23
VAI QUE COLA,VAI QUE COLA,27/08/2023,00:42:00,LGBTXYZ,,2ª TEMPORADA,,GLOBO,2023.0,CARLO MILANI E ERNESTO PICCOLO,3,BEIJINHO NO OMBRO,MUSICA COMERCIAL,"ANDRE VIEIRA,ANDRE VIEIRA,DENNIS DJ,PARDAL,WALLACE VIANA,WALLACE VIANA",MARCUS MAJELLA,13,PE,,"UNIVERSAL MGB,WARNER CHAPPELL,SONY MUSIC PUBLISHING,ADDAF,UNIVERSAL MGB,WARNER CHAPPELL",,,,beijinho no ombro,marcus majella,True,MusicCueSheet_Agosto23
MAIS VOCE,MAIS VOCÊ,30/08/2023,10:36:20,5893,,,,GLOBO,2023.0,VIVI DE MARCO,1,FELICIDADE,MUSICA COMERCIAL,"GABRIEL MOURA,LEANDRO FAB,PRETINHO DA SERRINHA,SEU JORGE","ANDRÉ SARATE,CAPU,SERGINHO MOAH",15,TA,,"WARNER CHAPPELL,WARNER CHAPPELL,UNIVERSAL MGB,SONY MUSIC PUBLISHING",FIRST MUSIC,,,felicidade,"andre sarate,capu,serginho moah",True,MusicCueSheet_Agosto23
MAIS VOCE,MAIS VOCÊ,30/08/2023,10:36:20,5893,,,,GLOBO,2023.0,VIVI DE MARCO,2,FELICIDADE,MUSICA COMERCIAL,"GABRIEL MOURA,LEANDRO FAB,PRETINHO DA SERRINHA,SEU JORGE","ANDRÉ SARATE,CAPU,SERGINHO MOAH",59,BK,,"WARNER CHAPPELL,WARNER CHAPPELL,UNIVERSAL MGB,SONY MUSIC PUBLISHING",FIRST MUSIC,,,felicidade,"andre sarate,capu,serginho moah",True,MusicCueSheet_Agosto23
MAIS VOCE,MAIS VOCÊ,30/08/2023,10:36:20,5893,,,,GLOBO,2023.0,VIVI DE MARCO,54,FELICIDADE,MUSICA COMERCIAL,"GABRIEL MOURA,LEANDRO FAB,PRETINHO DA SERRINHA,SEU JORGE","ANDRÉ SARATE,CAPU,SERGINHO MOAH",14,BK,,"WARNER CHAPPELL,WARNER CHAPPELL,UNIVERSAL MGB,SONY MUSIC PUBLISHING",FIRST MUSIC,,,felicidade,"andre sarate,capu,serginho moah",True,MusicCueSheet_Agosto23
MAIS VOCE,MAIS VOCÊ,30/08/2023,10:36:20,5893,,,,GLOBO,2023.0,VIVI DE MARCO,55,FELICIDADE,MUSICA COMERCIAL,"GABRIEL MOURA,LEANDRO FAB,PRETINHO DA SERRINHA,SEU JORGE","ANDRÉ SARATE,CAPU,SERGINHO MOAH",24,TE,,"WARNER CHAPPELL,WARNER CHAPPELL,UNIVERSAL MGB,SONY MUSIC PUBLISHING",FIRST MUSIC,,,felicidade,"andre sarate,capu,serginho moah",True,MusicCueSheet_Agosto23
