provider,files,matches_rows,eligible_explicit_rows,eligible_alias_rows,sum_valor_brl_explicit
Aparecida,3,42,0,0,0.00
Band,1,113,8,43,0.00
Canal Brasil,3,3,0,0,0.00
Desconhecido,1,4,4,0,52.00
Globo,3,109,109,0,3693.00
SBT,1,188,188,188,142119.46
