provider,supplier_file,sheet,supplier_title,supplier_artist,matched_term,matched_identifier,match_type
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Fuleragem,Mc Wm,FULERAGEM,T-305.214.250-0,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Carcará,Personagem Juma,CARCARA,T-040.347.911-7,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Carcará,Personagem Juma,CARCARÁ,T-308.468.519-4,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Máscara,Pitty,MÁSCARA,,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Terremoto,"Anitta,Mc Kevinho",TERREMOTO,T-307.297.647-3,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Terremoto,"Anitta,Mc Kevinho",TERREMOTO,T-307.297.647-3,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Amanhã,"Reginaldo Rossi,Roberta Miranda",AMANHÃ,T-307.004.953-1,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Carcará,Personagem Juma,CARCARA,T-040.347.911-7,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Carcará,Personagem Juma,CARCARÁ,T-308.468.519-4,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Máscara,Pitty,MÁSCARA,,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Malandramente,"Dennis Dj,Nandinho,Nego Bam",MALANDRAMENTE,T-308.115.009-2,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Terremoto,"Anitta,Mc Kevinho",TERREMOTO,T-307.297.647-3,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Amanhã,"Reginaldo Rossi,Roberta Miranda",AMANHÃ,T-307.004.953-1,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Carcará,Personagem Juma,CARCARA,T-040.347.911-7,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Carcará,Personagem Juma,CARCARÁ,T-308.468.519-4,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Máscara,Pitty,MÁSCARA,,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Combate,"Aldair Playboy,Mc Wm",COMBATE,T-306.803.836-4,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Terremoto,"Anitta,Mc Kevinho",TERREMOTO,T-307.297.647-3,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Carcará,Personagem Juma,CARCARA,T-040.347.911-7,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Carcará,Personagem Juma,CARCARÁ,T-308.468.519-4,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Máscara,Pitty,MÁSCARA,,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Combate,"Aldair Playboy,Mc Wm",COMBATE,T-306.803.836-4,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Malandramente,"Dennis Dj,Nandinho,Nego Bam",MALANDRAMENTE,T-308.115.009-2,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Terremoto,"Anitta,Mc Kevinho",TERREMOTO,T-307.297.647-3,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Até O Fim,"Banda Mahi,Markinho Duran",ATE O FIM,T-042.023.019-8,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Eu Vou,"Fábio Brazza,Txéllo",EU VOU,T-040.469.531-3,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Terrorista,Sirena,TERRORISTA,T-932.265.309-8,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Terremoto,"Anitta,Mc Kevinho",TERREMOTO,T-307.297.647-3,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Malandramente,"Dennis Dj,Nandinho,Nego Bam",MALANDRAMENTE,T-308.115.009-2,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Terremoto,"Anitta,Mc Kevinho",TERREMOTO,T-307.297.647-3,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Terremoto,"Anitta,Mc Kevinho",TERREMOTO,T-307.297.647-3,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Combate,"Aldair Playboy,Mc Wm",COMBATE,T-306.803.836-4,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Terremoto,"Anitta,Mc Kevinho",TERREMOTO,T-307.297.647-3,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Verdade,Karinah,VERDADE,T-302.003.913-4,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,De Novo,Vitor Kley,DE NOVO,T-319.876.158-5,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Era Uma Vez,Sandy & Junior,ERA UMA VEZ,,title_only
